6000
Load data
RNN type: UNI Grammar: g1 Seed: 1
Model total parameters: 3780
Saving hinit ... 

Epoch:3 Len:4 Cost:0.8512 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:3 Len:5 Cost:0.6661 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:3 Len:6 Cost:0.6390 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:3 Len:7 Cost:0.3491 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:3 Len:8 Cost:0.3739 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:3 Len:9 Cost:0.3592 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:3 Len:10 Cost:0.2843 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:3 Len:11 Cost:0.0656 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:3 Len:12 Cost:0.0634 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:3 Len:13 Cost:0.0931 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:3 Len:16 Cost:0.0616 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:3 Len:19 Cost:0.0397 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:3 Len:22 Cost:0.0526 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:4 Len:0 Cost:0.0000 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:4 Len:1 Cost:3.0514 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:4 Len:2 Cost:2.4801 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:4 Len:3 Cost:1.0221 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:4 Len:4 Cost:1.6894 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:4 Len:5 Cost:0.9248 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:4 Len:6 Cost:0.2618 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:4 Len:7 Cost:0.2086 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:4 Len:8 Cost:0.1849 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:4 Len:9 Cost:0.2582 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:4 Len:10 Cost:0.1220 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:4 Len:11 Cost:0.0768 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:4 Len:12 Cost:0.0872 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:4 Len:13 Cost:0.0564 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:4 Len:16 Cost:0.0200 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:4 Len:19 Cost:0.0138 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:4 Len:22 Cost:0.0154 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:5 Len:0 Cost:0.0000 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:5 Len:1 Cost:1.1937 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:5 Len:2 Cost:3.2221 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:5 Len:3 Cost:0.8831 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:5 Len:4 Cost:1.0068 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:5 Len:5 Cost:0.4992 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:5 Len:6 Cost:0.3606 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:5 Len:7 Cost:0.2530 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:5 Len:8 Cost:0.1892 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
